abandonment	abandon|||verb|||—abandonment
indisputably	indisputable|||adjective|||—indisputably
indissolubly	indissoluble|||adjective|||—indissolubly
indistinctly	indistinct|||adjective|||—indistinctly
individualistic	individualist|||noun|||—individualistic
individualize	individualized|||adjective|||—individualize
indivisibly	indivisible|||adjective|||—indivisibly
indoctrination	indoctrinate|||verb|||—indoctrination
indolence	indolent|||adjective|||—indolence
Indonesian	Indonesia|||noun|||—Indonesian
indubitable	indubitably|||adverb|||—indubitable
indulgently	indulgent|||adjective|||—indulgently
industrialize	industrialization|||noun|||—industrialize
industrially	industrial|||adjective|||—industrially
industriously	industrious|||adjective|||—industriously
ineffably	ineffable|||adjective|||—ineffably
ineffectively	ineffective|||adjective|||—ineffectively,—ineffectiveness
ineffectiveness	ineffective|||adjective|||—ineffectively,—ineffectiveness
ineffectually	ineffectual|||adjective|||—ineffectually
inefficiency	inefficient|||adjective|||—inefficiently,—inefficiency
inefficiently	inefficient|||adjective|||—inefficiently,—inefficiency
inelegance	inelegant|||adjective|||—inelegantly,—inelegance
inelegantly	inelegant|||adjective|||—inelegantly,—inelegance
ineligibility	ineligible|||adjective|||—ineligibility
ineluctably	ineluctable|||adjective|||—ineluctably
ineptly	inept|||adjective|||—ineptly
inequitably	inequitable|||adjective|||—inequitably
ineradicably	ineradicable|||adjective|||—ineradicably
inertial	inertia|||noun|||—inertial
inertness	inert|||adjective|||—inertness
inescapably	inescapable|||adjective|||—inescapably
-iness	-y|||suffix|||—-ily,—-iness
inessentials	inessential|||adjective|||—inessentials
inexcusably	inexcusable|||adjective|||—inexcusably
inexorability	inexorable|||adjective|||—inexorably,—inexorability
inexorably	inexorable|||adjective|||—inexorably,—inexorability
inexpensively	inexpensive|||adjective|||—inexpensively
inexpertly	inexpert|||adjective|||—inexpertly
inexplicably	inexplicable|||adjective|||—inexplicably
inexpressibly	inexpressible|||adjective|||—inexpressibly
infallibility	infallible|||adjective|||—infallibly,—infallibility
infallibly	infallible|||adjective|||—infallibly,—infallibility
infamously	infamous|||adjective|||—infamously
infectiously	infectious|||adjective|||—infectiously
inferential	inference|||noun|||—inferential,—inferentially
inferentially	inference|||noun|||—inferential,—inferentially
infernally	infernal|||adjective|||—infernally
infestation	infest|||verb|||—infestation
infielder	infield|||noun|||—infielder
infiltration	infiltrate|||verb|||—infiltrator,—infiltration
infiltrator	infiltrate|||verb|||—infiltrator,—infiltration
infinitesimally	infinitesimal|||adjective|||—infinitesimally
inflectional	inflection|||noun|||—inflectional
inflexibility	inflexible|||adjective|||—inflexibly,—inflexibility
inflexibly	inflexible|||adjective|||—inflexibly,—inflexibility
infliction	inflict|||verb|||—infliction
informality	informal|||adjective|||—informally,—informality
informally	informal|||adjective|||—informally,—informality
informational	information|||noun|||—informational
informatively	informative|||adjective|||—informatively
infrastructural	infrastructure|||noun|||—infrastructural
infrequency	infrequent|||adjective|||—infrequency
infringement	infringe|||verb|||—infringement
infuriatingly	infuriating|||adjective|||—infuriatingly
ingeniously	ingenious|||adjective|||—ingeniously
ingenuously	ingenuous|||adjective|||—ingenuously,—ingenuousness
ingenuousness	ingenuous|||adjective|||—ingenuously,—ingenuousness
ingestion	ingest|||verb|||—ingestion
ingloriously	inglorious|||adjective|||—ingloriously
ingratiatingly	ingratiating|||adjective|||—ingratiatingly
inhabitable	inhabit|||verb|||—inhabitable
inhalation	inhale|||verb|||—inhalation
inherently	inherent|||adjective|||—inherently
inhumanely	inhumane|||adjective|||—inhumanely
inhumanly	inhuman|||adjective|||—inhumanly
inimitably	inimitable|||adjective|||—inimitably
injection-moulded	injection moulding|||noun|||—injection-moulded
injudiciously	injudicious|||adjective|||—injudiciously
innately	innate|||adjective|||—innately
inner-city	inner city|||noun|||—inner-city
innocently	innocent|||adjective|||—innocently
innocuously	innocuous|||adjective|||—innocuously
innumeracy	innumerate|||adjective|||—innumeracy
inoculation	inoculate|||verb|||—inoculation
inordinately	inordinate|||adjective|||—inordinately
inorganically	inorganic|||adjective|||—inorganically
inquirer	inquire|||verb|||—inquirer
inquiringly	inquiring|||adjective|||—inquiringly
inquisitively	inquisitive|||adjective|||—inquisitively,—inquisitiveness
inquisitiveness	inquisitive|||adjective|||—inquisitively,—inquisitiveness
inquisitorial	inquisitor|||noun|||—inquisitorial,—inquisitorially
inquisitorially	inquisitor|||noun|||—inquisitorial,—inquisitorially
insanely	insane|||adjective|||—insanely
insatiably	insatiable|||adjective|||—insatiably
inscrutability	inscrutable|||adjective|||—inscrutably,—inscrutability
inscrutably	inscrutable|||adjective|||—inscrutably,—inscrutability
insecticidal	insecticide|||noun|||—insecticidal
insectivorous	insectivore|||noun|||—insectivorous
insecurely	insecure|||adjective|||—insecurity,—insecurely
insecurity	insecure|||adjective|||—insecurity,—insecurely
insemination	inseminate|||verb|||—insemination
insensibly	insensible|||adjective|||—insensibly
insensitively	insensitive|||adjective|||—insensitively,—insensitivity
insensitivity	insensitive|||adjective|||—insensitively,—insensitivity
inseparability	inseparable|||adjective|||—inseparably,—inseparability
inseparably	inseparable|||adjective|||—inseparably,—inseparability
insidiously	insidious|||adjective|||—insidiously,—insidiousness
insidiousness	insidious|||adjective|||—insidiously,—insidiousness
insignificance	insignificant|||adjective|||—insignificantly,—insignificance
insignificantly	insignificant|||adjective|||—insignificantly,—insignificance
insincerely	insincere|||adjective|||—insincerely,—insincerity
insincerity	insincere|||adjective|||—insincerely,—insincerity
insipidly	insipid|||adjective|||—insipidly,—insipidness, insipidity
insipidness, insipidity	insipid|||adjective|||—insipidly,—insipidness, insipidity
insistently	insistent|||adjective|||—insistently
insolence	insolent|||adjective|||—insolently,—insolence
insolently	insolent|||adjective|||—insolently,—insolence
insolvably	insolvable|||adjective|||—insolvably
insolvency	insolvent|||adjective|||—insolvency
insouciant	insouciance|||noun|||—insouciant,—insouciantly
insouciantly	insouciance|||noun|||—insouciant,—insouciantly
instantaneously	instantaneous|||adjective|||—instantaneously
instant message	instant messaging|||noun|||—instant message
instigator	instigate|||verb|||—instigator
instinctively	instinctive|||adjective|||—instinctively
instrumentally	instrumental|||adjective|||—instrumentally
insubordinate	insubordination|||noun|||—insubordinate
insufferably	insufferable|||adjective|||—insufferably
insufficiency	insufficient|||adjective|||—insufficiently,—insufficiency
insufficiently	insufficient|||adjective|||—insufficiently,—insufficiency
insularity	insular|||adjective|||—insularity
insultingly	insulting|||adjective|||—insultingly
insurrectionist	insurrection|||noun|||—insurrectionist
intangibly	intangible|||adjective|||—intangibly,—intangible
integrally	integral|||adjective|||—integrally
intellectualism	intellectual|||noun|||—intellectualism
intellectually	intellectual|||adjective|||—intellectually
intelligently	intelligent|||adjective|||—intelligently
intelligibility	intelligible|||adjective|||—intelligibly,—intelligibility
intelligibly	intelligible|||adjective|||—intelligibly,—intelligibility
intemperance	intemperate|||adjective|||—intemperance
intensely	intense|||adjective|||—intensely
intensification	intensify|||verb|||—intensification
intensively	intensive|||adjective|||—intensively
intentionally	intentional|||adjective|||—intentionally
intently	intent|||adjective|||—intently
interactively	interactive|||adjective|||—interactively,—interactivity
interactivity	interactive|||adjective|||—interactively,—interactivity
interception	intercept|||verb|||—interception
interchangeability	interchangeable|||adjective|||—interchangeably,—interchangeability
interchangeably	interchangeable|||adjective|||—interchangeably,—interchangeability
interconnection	interconnect|||verb|||—interconnection
interdependently	interdependent|||adjective|||—interdependently
interdiction	interdict|||noun|||—interdict,—interdiction
interestedly	interested|||adjective|||—interestedly
interior decorating	interior decorator|||noun|||—interior decorating
interior design	interior designer|||noun|||—interior design
interlace	interlaced|||adjective|||—interlace
intermarriage	intermarry|||verb|||—intermarriage
interminably	interminable|||adjective|||—interminably
intermittently	intermittent|||adjective|||—intermittently
internalization	internalize|||verb|||—internalization
internally	internal|||adjective|||—internally
internationalist	internationalism|||noun|||—internationalist,—internationalist@@@internationalism|||noun|||—internationalist,—internationalist
internationalization	internationalize|||verb|||—internationalization
interpenetration	interpenetrate|||verb|||—interpenetration
interpolation	interpolate|||verb|||—interpolation
interrogatively	interrogative|||adjective|||—interrogatively
interrogator	interrogate|||verb|||—interrogator
interruption	interrupt|||verb|||—interruption
interventionism	interventionist|||adjective|||—interventionism
interviewing	interview|||verb|||—interviewing
intestinal	intestine|||noun|||—intestinal
intimately	intimate|||adjective|||—intimately
intimidation	intimidate|||verb|||—intimidation
intolerably	intolerable|||adjective|||—intolerably
intoxicate	intoxicated|||adjective|||—intoxicate,—intoxication
intoxication	intoxicated|||adjective|||—intoxicate,—intoxication
intractability	intractable|||adjective|||—intractability
intransigence	intransigent|||adjective|||—intransigence
intransitively	intransitive|||adjective|||—intransitively
intrapreneuring	intrapreneur|||noun|||—intrapreneuring
intravenously	intravenous|||adjective|||—intravenously
intricately	intricate|||adjective|||—intricately
intriguingly	intriguing|||adjective|||—intriguingly
intrinsically	intrinsic|||adjective|||—intrinsically
introspectively	introspective|||adjective|||—introspectively
introversion	introverted|||adjective|||—introversion
intuitively	intuitive|||adjective|||—intuitively
inundation	inundate|||verb|||—inundation
inventively	inventive|||adjective|||—inventively,—inventiveness
inventiveness	inventive|||adjective|||—inventively,—inventiveness
inversely	inverse|||adjective|||—inversely
investment banker	investment bank|||noun|||—investment banker,—investment banking
investment banking	investment bank|||noun|||—investment banker,—investment banking
invigilator	invigilate|||verb|||—invigilator
invincibility	invincible|||adjective|||—invincibility
inviolability	inviolable|||adjective|||—inviolability
invisibility	invisible|||adjective|||—invisibly,—invisibility
invisibly	invisible|||adjective|||—invisibly,—invisibility
invitingly	inviting|||adjective|||—invitingly
involuntarily	involuntary|||adjective|||—involuntarily
invulnerability	invulnerable|||adjective|||—invulnerability
inwardly	inward|||adjective|||—inwardly
ionization	ionize|||verb|||—ionization
Iowan	Iowa|||noun|||—Iowan
Iranian	Iran|||noun|||—Iranian
Iraqi	Iraq|||noun|||—Iraqi
iridescence	iridescent|||adjective|||—iridescence
ironmongery	ironmonger|||noun|||—ironmongery
irradiation	irradiate|||verb|||—irradiation
irrationality	irrational|||adjective|||—irrationally,—irrationality
irrationally	irrational|||adjective|||—irrationally,—irrationality
irredeemably	irredeemable|||adjective|||—irredeemably
irreducibly	irreducible|||adjective|||—irreducibly
irrefutably	irrefutable|||adjective|||—irrefutably
irregularity	irregular|||adjective|||—irregularly,—irregularity
irregularly	irregular|||adjective|||—irregularly,—irregularity
irrelevantly	irrelevant|||adjective|||—irrelevantly
irreparably	irreparable|||adjective|||—irreparably
irrepressibly	irrepressible|||adjective|||—irrepressibly
irresistibly	irresistible|||adjective|||—irresistibly
irresolution	irresolute|||adjective|||—irresolution
irresponsibility	irresponsible|||adjective|||—irresponsibly,—irresponsibility
irresponsibly	irresponsible|||adjective|||—irresponsibly,—irresponsibility
irretrievably	irretrievable|||adjective|||—irretrievably
irreverence	irreverent|||adjective|||—irreverently,—irreverence
irreverently	irreverent|||adjective|||—irreverently,—irreverence
irreversibly	irreversible|||adjective|||—irreversibly
irrevocably	irrevocable|||adjective|||—irrevocably
irrigation	irrigate|||verb|||—irrigation
irritability	irritable|||adjective|||—irritably,—irritability
irritably	irritable|||adjective|||—irritably,—irritability
irritatingly	irritating|||adjective|||—irritatingly
Islamic	Islam|||noun|||—Islamic
Islamism	Islamist|||noun|||—Islamism
Islamophobic	Islamophobia|||noun|||—Islamophobic
isolationist	isolationism|||noun|||—isolationist,—isolationist@@@isolationism|||noun|||—isolationist,—isolationist
italic	italics|||noun|||—italic
italicized	italicize|||verb|||—italicized
itchiness	itchy|||adjective|||—itchiness
iteration	iterate|||verb|||—iteration,—iterative
iterative	iterate|||verb|||—iteration,—iterative
jackbooted	jackboot|||noun|||—jackbooted
jaggedly	jagged|||adjective|||—jaggedly
jailbreaking	jailbreak|||verb|||—jailbreaking
Jamaican	Jamaica|||noun|||—Jamaican
Jamesian	James, Henry|||adjective|||—Jamesian
jarring	jar|||verb|||—jarring
jauntily	jaunty|||adjective|||—jauntily,—jauntiness
jauntiness	jaunty|||adjective|||—jauntily,—jauntiness
jaywalk	jaywalking|||noun|||—jaywalker,—jaywalk
jaywalker	jaywalking|||noun|||—jaywalker,—jaywalk
jeering	jeer|||verb|||—jeer,—jeering@@@jeering|||adjective|||
jerkily	jerky|||adjective|||—jerkily,—jerkiness
jerkiness	jerky|||adjective|||—jerkily,—jerkiness
jestingly	jest|||verb|||—jestingly
jet black	jet-black|||adjective|||—jet black
jet-lagged	jet lag|||noun|||—jet-lagged
jet-setter	jet set|||noun|||—jet-setter
jingoistic	jingoism|||noun|||—jingoistic
jobshare	job-sharing|||noun|||—jobshare,—jobshare@@@job-sharing|||noun|||—jobshare,—jobshare
jocularity	jocular|||adjective|||—jocularly,—jocularity
jocularly	jocular|||adjective|||—jocularly,—jocularity
jointly	joint|||adjective|||—jointly
jokily	jokey|||adjective|||—jokily,—jokiness
jokiness	jokey|||adjective|||—jokily,—jokiness
jokingly	joke|||verb|||—jokingly
journalistic	journalist|||noun|||—journalistic
joviality	jovial|||adjective|||—jovially,—joviality
jovially	jovial|||adjective|||—jovially,—joviality
joyfully	joyful|||adjective|||—joyfully,—joyfulness
joyfulness	joyful|||adjective|||—joyfully,—joyfulness
joylessly	joyless|||adjective|||—joylessly
joyously	joyous|||adjective|||—joyously,—joyousness
joyousness	joyous|||adjective|||—joyously,—joyousness
joyride	joyriding|||noun|||—joyride,—joyrider
joyrider	joyriding|||noun|||—joyride,—joyrider
jubilantly	jubilant|||adjective|||—jubilantly
Judaic	Judaism|||noun|||—Judaic
judicially	judicial|||adjective|||—judicially
judiciously	judicious|||adjective|||—judiciously
juiciness	juicy|||adjective|||—juiciness
jump start	jump-start|||verb|||—jump start
Jungian	Jung, Carl Gustav|||adjective|||—Jungian
justifiably	justifiable|||adjective|||—justifiably
justly	just|||adjective|||—justly
jutting	jut|||verb|||—jutting
juvenile delinquency	juvenile delinquent|||noun|||—juvenile delinquency
juxtaposition	juxtapose|||verb|||—juxtaposition
karmic	karma|||noun|||—karmic
karting	kart|||noun|||—karting
Kashmiri	Kashmir|||noun|||—Kashmiri
kayaking	kayak|||noun|||—kayaking
keenly	keen|||adjective|||—keenly,—keenness
keenness	keen|||adjective|||—keenly,—keenness
keep-fit	keep fit|||noun|||—keep-fit
Kenyan	Kenya|||noun|||—Kenyan
kerb crawling	kerb crawler|||noun|||—kerb crawling
keyboarding	keyboard|||verb|||—keyboarding
Keynesian	Keynes, John Maynard|||adjective|||—Keynesian
kibitzer	kibitz|||verb|||—kibitzer
kickboxer	kickboxing|||noun|||—kickboxer
kidding	kid|||verb|||—kidding
kidnapper	kidnap|||verb|||—kidnapper,—kidnapping
kidnapping	kidnap|||verb|||—kidnapper,—kidnapping
kilted	kilt|||noun|||—kilted
kind-heartedly	kind-hearted|||adjective|||—kind-heartedly,—kind-heartedness
kind-heartedness	kind-hearted|||adjective|||—kind-heartedly,—kind-heartedness
kindliness	kindly|||adjective|||—kindliness
kinkily	kinky|||adjective|||—kinkiness,—kinkily
kinkiness	kinky|||adjective|||—kinkiness,—kinkily
kippered	kipper|||noun|||—kippered
kitten-heel	kitten heels|||noun|||—kitten-heel
klutzy	klutz|||noun|||—klutzy
knavish	knave|||noun|||—knavish,—knavishly
knavishly	knave|||noun|||—knavish,—knavishly
knifing	knife|||verb|||—knifing
knitter	knit|||verb|||—knitter
knowledgeably	knowledgeable|||adjective|||—knowledgeably
kooky	kook|||noun|||—kooky
Kuwaiti	Kuwait|||noun|||—Kuwaiti
laboriously	laborious|||adjective|||—laboriously
labyrinthine	labyrinth|||noun|||—labyrinthine
laconically	laconic|||adjective|||—laconically
laggardly	laggard|||noun|||—laggardly
lambing	lamb|||verb|||—lambing
lameness	lame|||adjective|||—lameness
lamentably	lamentable|||adjective|||—lamentably
landownership	landowner|||noun|||—landowning,—landownership
landowning	landowner|||noun|||—landowning,—landownership
landscape architecture	landscape architect|||noun|||—landscape architecture
landscape gardener	landscape gardening|||noun|||—landscape gardener
landscaping	landscape|||verb|||—landscaping
landwards	landward|||adjective|||—landwards
languidly	languid|||adjective|||—languidly
languorous	languor|||noun|||—languorous,—languorously
languorously	languor|||noun|||—languorous,—languorously
lankiness	lanky|||adjective|||—lankiness
laparoscopic	laparoscopy|||noun|||—laparoscopic
lap dancer	lap dancing|||noun|||—lap dancer
Laplander	Lapland|||noun|||—Laplander
lapping	lap|||verb|||—lapping
larval	larva|||noun|||—larval
lasciviously	lascivious|||adjective|||—lasciviously,—lasciviousness
lasciviousness	lascivious|||adjective|||—lasciviously,—lasciviousness
latency	latent|||adjective|||—latency
lateness	late|||adjective|||—lateness
laterally	lateral|||adjective|||—laterally
latitudinal	latitude|||noun|||—latitudinal
Latvian	Latvia|||noun|||—Latvian
laudably	laudable|||adjective|||—laudably
laughably	laughable|||adjective|||—laughably
lavishly	lavish|||adjective|||—lavishly,—lavishness
lavishness	lavish|||adjective|||—lavishly,—lavishness
law-breaking	law-breaker|||noun|||—law-breaking
lawfully	lawful|||adjective|||—lawfully,—lawfulness
lawfulness	lawful|||adjective|||—lawfully,—lawfulness
lawlessness	lawless|||adjective|||—lawlessness
laxity	lax|||adjective|||—laxity
lazily	lazy|||adjective|||—lazily,—laziness
laziness	lazy|||adjective|||—lazily,—laziness
leanness	lean|||adjective|||—leanness
learnedly	learned|||adjective|||—learnedly
Lebanese	Lebanon|||noun|||—Lebanese
lecherously	lecherous|||adjective|||—lecherously
leftward	leftwards|||adverb|||—leftward
left wing	left-wing|||adjective|||—left wing,—left-winger
left-winger	left-wing|||adjective|||—left wing,—left-winger
legalization	legalize|||verb|||—legalization
legibility	legible|||adjective|||—legibly,—legibility
legibly	legible|||adjective|||—legibly,—legibility
legitimacy	legitimate|||adjective|||—legitimately,—legitimacy
legitimately	legitimate|||adjective|||—legitimately,—legitimacy
leguminous	legume|||noun|||—leguminous
leniency,	lenient|||adjective|||—leniently,—leniency,,—lenience
leniently	lenient|||adjective|||—leniently,—leniency,,—lenience
Leninist, Leninite	Leninism|||noun|||—Leninist, Leninite
Lenten	Lent|||noun|||—Lenten
leprous	leprosy|||noun|||—leprous
lesbianism	lesbian|||noun|||—lesbian,—lesbianism
lethargically	lethargic|||adjective|||—lethargically
levitation	levitate|||verb|||—levitation
lewdly	lewd|||adjective|||—lewdly,—lewdness
lewdness	lewd|||adjective|||—lewdly,—lewdness
lexicographer	lexicography|||noun|||—lexicographer,—lexicographical
lexicographical	lexicography|||noun|||—lexicographer,—lexicographical
liberalization	liberalize|||verb|||—liberalization
liberation	liberate|||verb|||—liberation,—liberator
liberator	liberate|||verb|||—liberation,—liberator
Liberian	Liberia|||noun|||—Liberian
libidinous	libido|||noun|||—libidinous
Libran	Libra|||noun|||—Libran
librarianship	librarian|||noun|||—librarianship
Libyan	Libya|||noun|||—Libyan
licentiously	licentious|||adjective|||—licentiously,—licentiousness
licentiousness	licentious|||adjective|||—licentiously,—licentiousness
Liechtensteiner	Liechtenstein|||noun|||—Liechtensteiner
lifelessly	lifeless|||adjective|||—lifelessly,—lifelessness
lifelessness	lifeless|||adjective|||—lifelessly,—lifelessness
light-headedness	light-headed|||adjective|||—light-headedness
light-heartedly	light-hearted|||adjective|||—light-heartedly,—light-heartedness
light-heartedness	light-hearted|||adjective|||—light-heartedly,—light-heartedness
lightness	light|||adjective|||—lightness
like-mindedness	like-minded|||adjective|||—like-mindedness
Lilliputian	Lilliput|||noun|||—Lilliputian
lilting	lilt|||noun|||—lilting
lime-green	lime green|||noun|||—lime-green
limpidity	limpid|||adjective|||—limpidly,—limpidity
limpidly	limpid|||adjective|||—limpidly,—limpidity
limply	limp|||adjective|||—limply,—limpness
limpness	limp|||adjective|||—limply,—limpness
linearity	linear|||adjective|||—linearly,—linearity
linearly	linear|||adjective|||—linearly,—linearity
line printing	line printer|||noun|||—line printing
lingeringly	lingering|||adjective|||—lingeringly
linguistically	linguistic|||adjective|||—linguistically
lip-reading	lip-read|||verb|||—lip-reading
lip synch	lip-synch|||verb|||—lip synch
listlessly	listless|||adjective|||—listlessly,—listlessness
listlessness	listless|||adjective|||—listlessly,—listlessness
literalness	literal|||adjective|||—literalness
lithographic	lithography|||noun|||—lithographic
Lithuanian	Lithuania|||noun|||—Lithuanian
litigiousness	litigious|||adjective|||—litigiousness
liturgically	liturgical|||adjective|||—liturgically
liveblogging	liveblog|||verb|||—liveblog,—liveblogging
liveliness	lively|||adjective|||—liveliness
loamy	loam|||noun|||—loamy
lobbyist	lobby|||verb|||—lobbyist
lobotomize	lobotomy|||noun|||—lobotomize
localization	localize|||verb|||—localization
lockable	lock|||verb|||—lockable
loftily	lofty|||adjective|||—loftily,—loftiness
loftiness	lofty|||adjective|||—loftily,—loftiness
logically	logical|||adjective|||—logically
logistically	logistic|||adjective|||—logistically
Londoner	London|||noun|||—Londoner@@@Londoner|||noun|||
loneliness	lonely|||adjective|||—loneliness
longitudinally	longitudinal|||adjective|||—longitudinally
long jumper	long jump|||noun|||—long jumper
looseness	loose|||adjective|||—looseness
looter	loot|||verb|||—looter,—looting
looting	loot|||verb|||—looter,—looting
loquaciousness	loquacious|||adjective|||—loquacity,—loquaciousness
loquacity	loquacious|||adjective|||—loquacity,—loquaciousness
lordliness	lordly|||adjective|||—lordliness
loudly	loud|||adjective|||—loudly,—loudness
loudmouthed	loudmouth|||noun|||—loudmouthed
loudness	loud|||adjective|||—loudly,—loudness
loutish	lout|||noun|||—loutish,—loutishly,—loutishness
loutishly	lout|||noun|||—loutish,—loutishly,—loutishness
loutishness	lout|||noun|||—loutish,—loutishly,—loutishness
louvred	louvre|||noun|||—louvred
loveliness	lovely|||adjective|||—loveliness
lovingly	loving|||adjective|||—lovingly
lower-class	lower class|||noun|||—lower-class
lowered	lower|||verb|||—lowered
lowland	lowlands|||noun|||—lowland,—lowlander
lowlander	lowlands|||noun|||—lowland,—lowlander
lowlife	low life|||noun|||—lowlife
lowness	low|||adjective|||—lowness
loyally	loyal|||adjective|||—loyally
lubrication	lubricate|||verb|||—lubrication
lubriciously	lubricious|||adjective|||—lubriciously
lucidity	lucid|||adjective|||—lucidly,—lucidity
lucidly	lucid|||adjective|||—lucidly,—lucidity
ludicrously	ludicrous|||adjective|||—ludicrously,—ludicrousness
ludicrousness	ludicrous|||adjective|||—ludicrously,—ludicrousness
lugubriously	lugubrious|||adjective|||—lugubriously
luminescent	luminescence|||noun|||—luminescent
luminosity	luminous|||adjective|||—luminously,—luminosity
luminously	luminous|||adjective|||—luminously,—luminosity
luridly	lurid|||adjective|||—luridly
lurker	lurk|||verb|||—lurker
lustfully	lustful|||adjective|||—lustfully
lustily	lusty|||adjective|||—lustily
lutenist	lute|||noun|||—lutenist
Luxembourger	Luxembourg|||noun|||—Luxembourger
luxuriance	luxuriant|||adjective|||—luxuriantly,—luxuriance
luxuriantly	luxuriant|||adjective|||—luxuriantly,—luxuriance
luxuriously	luxurious|||adjective|||—luxuriously
lymphatic	lymph|||noun|||—lymphatic
lynching	lynch|||verb|||—lynching
Macedonian	Macedonia|||noun|||—Macedonian
macroeconomic	macroeconomics|||noun|||—macroeconomic
Madagascan	Madagascar|||noun|||—Madagascan
maddeningly	maddening|||adjective|||—maddeningly
magically	magical|||adjective|||—magically
magisterially	magisterial|||adjective|||—magisterially
magnanimity	magnanimous|||adjective|||—magnanimously,—magnanimity
magnanimously	magnanimous|||adjective|||—magnanimously,—magnanimity
magnetically	magnetic|||adjective|||—magnetically
magnetization	magnetize|||verb|||—magnetization
magnificence	magnificent|||adjective|||—magnificently,—magnificence
magnificently	magnificent|||adjective|||—magnificently,—magnificence
main-line	main line|||noun|||—main-line
mainstreaming	mainstream|||verb|||—mainstreaming
majestically	majestic|||adjective|||—majestically
malarial	malaria|||noun|||—malarial
Malawian	Malawi|||noun|||—Malawian
Malaysian	Malaysia|||noun|||—Malaysian
male chauvinism	male chauvinist|||noun|||—male chauvinism
malevolence	malevolent|||adjective|||—malevolence,—malevolently
malevolently	malevolent|||adjective|||—malevolence,—malevolently
Malian	Mali|||noun|||—Malian
maliciously	malicious|||adjective|||—maliciously,—maliciousness
maliciousness	malicious|||adjective|||—maliciously,—maliciousness
malingerer	malinger|||verb|||—malingerer
malleability	malleable|||adjective|||—malleability
Malthusian	Malthus, Thomas|||adjective|||—Malthusian
maltreatment	maltreat|||verb|||—maltreatment
mammalian	mammal|||noun|||—mammalian
manacled	manacle|||noun|||—manacle,—manacled
manageability	manageable|||adjective|||—manageability
man-eating	man-eater|||noun|||—man-eating
mangled	mangle|||verb|||—mangled
maniacally	maniacal|||adjective|||—maniacally
manifestly	manifest|||adjective|||—manifestly
manipulation	manipulate|||verb|||—manipulation
manliness	manly|||adjective|||—manliness
mannishly	mannish|||adjective|||—mannishly
manoeuvrability	manoeuvrable|||adjective|||—manoeuvrability
manually	manual|||adjective|||—manually
Maoist	Maoism|||noun|||—Maoist
map-reader	map-reading|||noun|||—map-reader
marauder	marauding|||adjective|||—marauder
marginalization	marginalize|||verb|||—marginalized,—marginalization
marginalized	marginalize|||verb|||—marginalized,—marginalization
marketability	marketable|||adjective|||—marketability
marketeering	marketeer|||noun|||—marketeering
market gardener	market garden|||noun|||—market gardener
marshy	marsh|||noun|||—marshy
marvellously	marvellous|||adjective|||—marvellously
Marxist-Leninist	Marxism-Leninism|||noun|||—Marxist-Leninist
masher	mash|||verb|||—masher
masochist	masochism|||noun|||—masochist,—masochistic,—masochistically
masochistic	masochism|||noun|||—masochist,—masochistic,—masochistically
masochistically	masochism|||noun|||—masochist,—masochistic,—masochistically
massively	massive|||adjective|||—massively
mass market	mass-market|||adjective|||—mass market
mass-produce	mass-produced|||adjective|||—mass-produce
masterfully	masterful|||adjective|||—masterfully
mastication	masticate|||verb|||—mastication
masturbation	masturbate|||verb|||—masturbation
match-fitness	match-fit|||adjective|||—match-fitness
matchmaking	matchmaker|||noun|||—matchmaking
materialist	materialism|||noun|||—materialist,—materialist@@@materialism|||noun|||—materialist,—materialist
materialistically	materialistic|||adjective|||—materialistically
materialization	materialize|||verb|||—materialization
maternally	maternal|||adjective|||—maternally
mathematically	mathematical|||adjective|||—mathematically
matriculation	matriculate|||verb|||—matriculation
matrimonial	matrimony|||noun|||—matrimonial
matter-of-factly	matter-of-fact|||adjective|||—matter-of-factly
maturely	mature|||adjective|||—maturely
mauling	maul|||verb|||—mauling
Mauritanian	Mauritania|||noun|||—Mauritanian
Mauritian	Mauritius|||noun|||—Mauritian
mawkishly	mawkish|||adjective|||—mawkishly,—mawkishness
mawkishness	mawkish|||adjective|||—mawkishly,—mawkishness
maximally	maximal|||adjective|||—maximally
maximization	maximize|||verb|||—maximization
Maya, Mayan	Maya|||noun|||—Maya, Mayan
mayoral	mayor|||noun|||—mayoral
meagrely	meagre|||adjective|||—meagrely,—meagreness
meagreness	meagre|||adjective|||—meagrely,—meagreness
meanderings	meander|||verb|||—meanderings,—meander
meaningfully	meaningful|||adjective|||—meaningfully
meaninglessness	meaningless|||adjective|||—meaninglessness
meanly	mean|||adjective|||—meanly,—meanness
meanness	mean|||adjective|||—meanly,—meanness
means-tested	means test|||noun|||—means-tested
measurably	measurable|||adjective|||—measurably
meat-packer	meat-packing|||noun|||—meat-packer
mechanical engineer	mechanical engineering|||noun|||—mechanical engineer
mechanically	mechanical|||adjective|||—mechanically
mechanistically	mechanistic|||adjective|||—mechanistically
mechanization	mechanized|||adjective|||—mechanize,—mechanization
mechanize	mechanized|||adjective|||—mechanize,—mechanization
meddler	meddle|||verb|||—meddler,—meddling,—meddling
meddling	meddle|||verb|||—meddler,—meddling,—meddling@@@meddle|||verb|||—meddler,—meddling,—meddling
mediation	mediate|||verb|||—mediation
medically	medical|||adjective|||—medically
medicinally	medicinal|||adjective|||—medicinally
mediocrity	mediocre|||adjective|||—mediocrity
meditatively	meditative|||adjective|||—meditatively
