aback	aback	 adverb	surprised
kind	kind	 noun	kind
kind	kind	 noun	kind to people who have problems or difficulties
kind	kind	 noun	to treat someone very kindly or too kindly
kind	kind	 noun	completely different from anyone or anything else
kind	kind	 noun	to not like something or someone
kind	kind	 noun	to have similar characters or interests
kind	kind	 noun	a type of person or thing
kind	kind	 adjective	kind
kind	kind	 adjective	kind to people who have problems or difficulties
kind	kind	 adjective	to treat someone very kindly or too kindly
kind	kind	 adjective	approximately correct
kind	kind	 adjective	what you say when you thank someone
kindergarten	kindergarten	 noun	schools for very young children
kind-hearted	kind-hearted	 adjective	kind to people who have problems or difficulties
kind-heartedly	kind-hearted	 adjective	kind to people who have problems or difficulties
kind-heartedness	kind-hearted	 adjective	kind to people who have problems or difficulties
kindly	kindly	 adverb	to not like something or someone
kindness	kindness	 noun	kind
king	king	 noun	the leader of a group or country
kink	kink	 noun	the place where something bends
kinkily	kinky	 adjective	strange people, behaviour, objects or ideas
kinkiness	kinky	 adjective	strange people, behaviour, objects or ideas
kinky	kinky	 adjective	strange people, behaviour, objects or ideas
kiosk	kiosk	 noun	different types of shop
kip	kip	 noun	to sleep
kiss	kiss	 verb	to kiss someone
kiss	kiss	 verb	when two people kiss each other
kiss	kiss	 verb	an act of kissing
kiss	kiss	 noun	to kiss someone
kiss	kiss	 noun	when two people kiss each other
kiss	kiss	 noun	an act of kissing
kit	kit	 noun	clothes that you wear for sport
kit	kit	 noun	things you use for doing something
kitsch	kitsch	 noun	something that has not been made or chosen with good taste
kitty	kitty	 noun	money that is collected for a purpose
kleptomaniac	kleptomaniac	 noun	someone who steals
klutz	klutz	 noun	doing things in a careless and awkward way
klutzy	klutz	 noun	doing things in a careless and awkward way
knack	knack	 noun	the ability to do something well
knackered	knackered	 adjective	tired after exercise or work
knead	knead	 verb	to push something firmly, especially with your fingers
knee	knee	 noun	to defeat an enemy in war
knee	knee	 verb	kick
knee-jerk	knee-jerk	 adjective	when you do or say something without thinking
kneel	kneel	 verb	to sit with your legs in a particular position
knock	knock	 verb	to reduce the price of something
knock	knock	 verb	to criticize someone or something unfairly
knock	knock	 verb	to deliberately destroy a building
knock	knock	 verb	to drink all of something
knock	knock	 verb	to deliberately make someone fall 
knock	knock	 verb	to let something fall or make something fall
knock	knock	 verb	to hit an object/door/table etc with something
knock	knock	 verb	to hit someone or something accidentally
knock	knock	 verb	to hit someone repeatedly
knock	knock	 verb	to make someone or something fall down by hitting them
knock	knock	 verb	to impress someone very much
knock	knock	 verb	to make something better
knock	knock	 verb	to make something quickly using whatever materials you have
knock	knock	 verb	to reduce the number, amount, price, or size of something
knock	knock	 verb	to make someone feel shocked
knock	knock	 verb	sounds made by something repeatedly hitting something
knock	knock	 verb	to stop working at the end of the day or during the day
knock	knock	 verb	to make someone unconscious by hitting them
knock-on	knock-on	 adjective	a series of events and results
knot	knot	 noun	a group of people together in one place
knot	knot	 verb	to tie a knot in something
know	know	 verb	to know a fact or piece of information
know	know	 verb	to know a place, a film, a book etc
know	know	 verb	to know a lot about something
know	know	 verb	someone who knows a lot about something
know	know	 verb	knowing a lot about something
know	know	 verb	to know something so well you can repeat it from memory
know	know	 verb	to know a little about something
know	know	 verb	to know something that most people do not know
know	know	 verb	when most people know something
know	know	 verb	facts and information that you know
know	know	 verb	to feel sure something is true even though you have no proof
know	know	 verb	to not know a fact or piece of information
know	know	 verb	to not know a place, film or book etc
know	know	 verb	to not realize what is happening
know	know	 verb	to not know anything about a subject
know	know	 verb	to not know about something that other people know
know	know	 verb	to not know the most recent information about something
know	know	 verb	ways of saying that no one knows something
know	know	 verb	not knowing about something
know	know	 verb	something that people know nothing or very little about
know	know	 verb	a person or place that not many people know or know about
know	know	 verb	to know someone
know	know	 verb	to start to know someone
know	know	 verb	someone you know, but not very well
know	know	 verb	someone you do not know
know	know	 verb	to ask someone a question
know	know	 verb	to be unable to do something
know	know	 verb	to be able to do something
know	know	 verb	when something happens to you
know	know	 verb	experienced in a particular job or activity
know	know	 verb	good at something because you have experience or training
know	know	 verb	to not pay attention to what someone says or does
know	know	 verb	to be independent in the way you think
know	know	 verb	to be lost
know	know	 verb	when you think something may happen or may be true, but you are not sure
know	know	 verb	when something could happen
know	know	 verb	to recognize someone or something
know	know	 verb	not saying anything
know	know	 verb	very soon
know	know	 verb	to speak a language
know	know	 verb	to suffer because of bad things you have done or mistakes you have made
know	know	 verb	when you feel sure about something
know	know	 verb	not sure if something is true or if something will happen
know	know	 verb	to give someone information by speaking or writing to them
know	know	 verb	to let someone know something without telling them directly
know	know	 verb	what you say when you think something is true, but you are not sure
know	know	 verb	to understand how someone feels
know	know	 verb	to understand a situation, idea, or what someone is telling you
know	know	 noun	to know a fact or piece of information
know	know	 noun	to know a place, a film, a book etc
know	know	 noun	to know a lot about something
know	know	 noun	someone who knows a lot about something
know	know	 noun	knowing a lot about something
know	know	 noun	to know something so well you can repeat it from memory
know	know	 noun	to know a little about something
know	know	 noun	to know something that most people do not know
know	know	 noun	when most people know something
know	know	 noun	facts and information that you know
know	know	 noun	to feel sure something is true even though you have no proof
know	know	 noun	to not know a fact or piece of information
know	know	 noun	to not know a place, film or book etc
know	know	 noun	to not realize what is happening
know	know	 noun	to not know anything about a subject
know	know	 noun	to not know about something that other people know
know	know	 noun	to not know the most recent information about something
know	know	 noun	ways of saying that no one knows something
know	know	 noun	not knowing about something
know	know	 noun	something that people know nothing or very little about
know	know	 noun	a person or place that not many people know or know about
know	know	 noun	to know someone
know	know	 noun	to start to know someone
know	know	 noun	someone you know, but not very well
know	know	 noun	someone you do not know
know-how	know-how	 noun	facts and information that you know
knowing	knowing	 adjective	to know something that most people do not know
knowing	knowing	 adjective	ways of saying that no one knows something
knowingly	knowingly	 adverb	deliberately
know-it-all	know-it-all	 noun	an annoying person who thinks they are clever
knowledge	knowledge	 noun	facts and information that you know
knowledge	knowledge	 noun	when most people know something
knowledge	knowledge	 noun	to know a little about something
knowledge	knowledge	 noun	to not realize what is happening
knowledge	knowledge	 noun	what you say when you think something is true, but you are not sure
knowledgeable	knowledgeable	 adjective	knowing a lot about something
knowledgeable	knowledgeable	 adjective	to know a lot about something
knowledgeably	knowledgeable	 adjective	knowing a lot about something
knowledgeably	knowledgeable	 adjective	to know a lot about something
known	known	 verb	to have a particular name
known	known	 verb	never
known	known	 adjective	a person or place that not many people know or know about
known	known	 adjective	to let someone know something without telling them directly
label	label	 noun	a name that people call someone or something
label	label	 verb	to describe something or someone in a particular way
label	label	 verb	to describe someone or something in a way that shows your opinion
labour	labour	 noun	to have a baby
labour	labour	 noun	the effort involved in working
labour	labour	 noun	all the people who work in a company, organization, or country
labour	labour	 verb	to emphasize something too strongly
labour	labour	 verb	to talk too much about a particular thing
labour	labour	 verb	to work hard
labyrinth	labyrinth	 noun	a place where it is easy to get lost
labyrinthine	labyrinth	 noun	a place where it is easy to get lost
lack	lack	 noun	not enough
lack	lack	 noun	not enthusiastic
lack	lack	 noun	lack of experience
lack	lack	 noun	to not have something you need
lack	lack	 noun	not interested
lack	lack	 verb	not confident
lack	lack	 verb	not experienced in a particular job or activity
lack	lack	 verb	to not have something you need
lack	lack	 verb	to not have a particular substance, quality, feature etc
lack	lack	 verb	without any purpose
lackey	lackey	 noun	too willing to do what you are told to do
lacklustre	lacklustre	 adjective	not very bad, but not very good
ladder	ladder	 noun	to move to a more important job
ladder	ladder	 noun	a hole that is made when something is torn
ladder	ladder	 verb	to damage paper, cloth, or clothing
laddish	laddish	 adjective	typical of men
lady	lady	 noun	a toilet/rest room
lady	lady	 noun	a woman
lady	lady	 noun	a woman who does a particular job or activity
lag	lag	 verb	to move more slowly than the other people
laid-back	laid-back	 adjective	usually calm
laid-back	laid-back	 adjective	feeling relaxed
lamb	lamb	 noun	looking or behaving like a young person
lame	lame	 adjective	when something seems very unlikely to be true
lameness	lame	 adjective	when something seems very unlikely to be true
land	land	 noun	land that is owned by someone or is used for something
land	land	 noun	what you see in an area of land
land	land	 noun	the surface of the land
land	land	 noun	the land compared with the sea or air
land	land	 noun	the substance that forms the surface of the land
land	land	 noun	land at the edge of water
land	land	 noun	a country
land	land	 noun	the country where you were born
land	land	 noun	different ways of travelling
land	land	 verb	land that is owned by someone or is used for something
land	land	 verb	what you see in an area of land
land	land	 verb	the surface of the land
land	land	 verb	the land compared with the sea or air
land	land	 verb	the substance that forms the surface of the land
land	land	 verb	land at the edge of water
land	land	 verb	a plane, ship, train, bus etc arrives
land	land	 verb	to go down
land	land	 verb	to succeed in getting something, especially something that is difficult to get
landlord	landlord	 noun	the person who owns something
landmark	landmark	 noun	something that is important
landscape	landscape	 noun	what you see in an area of land
landscape	landscape	 noun	a picture that you paint or draw
landscape	landscape	 noun	object/building etc
landslide	landslide	 noun	when someone wins
lane	lane	 noun	outside a town
language	language	 noun	the words used by the people in a particular country or area
language	language	 noun	the use of words to communicate
language	language	 noun	the first language that you learn as a child
language	language	 noun	when someone can speak more than one language
language	language	 noun	the language used by a particular group of people
language	language	 noun	rude and offensive words
language	language	 noun	to have the same beliefs, ideas, or opinions as someone else
lankiness	lanky	 adjective	words for describing someone who is tall
lanky	lanky	 adjective	words for describing someone who is tall
lap	lap	 noun	to have nearly finished something
lap	lap	 verb	to drink something
lap	lap	 verb	to enjoy getting a lot of praise, attention etc
lapping	lap	 verb	to drink something
lapping	lap	 verb	to enjoy getting a lot of praise, attention etc
laptop	laptop	 noun	hardware
larceny	larceny	 noun	the crime of stealing
large	large	 adjective	big people
large	large	 adjective	big objects/buildings/organizations etc
large	large	 adjective	big places, areas, cities
large	large	 adjective	large numbers/amounts
large	large	 adjective	very big
large	large	 adjective	having a big effect
large	large	 adjective	someone who has escaped
large	large	 adjective	words for describing someone who is fat
largely	largely	 adverb	ways of stating the main reason for something or the main part of something
largely	largely	 adverb	when there is much more of one type than of other types
large-scale	large-scale	 adjective	having a big effect
lash	lash	 verb	to fasten things together, using rope, string etc
last	last	 determiner	coming at the end after all others
last	last	 determiner	to be the last one in a line, group, race etc
last	last	 determiner	the one just before the last one
last	last	 determiner	what you say to introduce the last thing in a speech etc
last	last	 determiner	to continue for a particular period of time
last	last	 determiner	to stay in good condition for a particular period of time
last	last	 determiner	when a supply of something continues to be enough
last	last	 determiner	what you say to explain the most basic facts, reasons etc
last	last	 determiner	a time, day, month etc that comes before another one
last	last	 determiner	someone or something that existed before or that you had before
last	last	 determiner	furniture, cars, or machines that are in bad condition
last	last	 determiner	to count numbers, objects etc in order to find the total
last	last	 determiner	when something happens that you did not expect
last	last	 determiner	to have nearly finished something
last	last	 determiner	late at night
last	last	 determiner	when something happens before it is too late
last	last	 determiner	happening over a period of time up to the present
last	last	 determiner	words for describing someone or something that remains
last	last	 adverb	coming at the end after all others
last	last	 adverb	to be the last one in a line, group, race etc
last	last	 adverb	the one just before the last one
last	last	 adverb	what you say to introduce the last thing in a speech etc
last	last	 adverb	to continue for a particular period of time
last	last	 adverb	to stay in good condition for a particular period of time
last	last	 adverb	when a supply of something continues to be enough
last	last	 adverb	when something happens after a long time
last	last	 noun	coming at the end after all others
last	last	 noun	to be the last one in a line, group, race etc
last	last	 noun	the one just before the last one
last	last	 noun	what you say to introduce the last thing in a speech etc
last	last	 noun	to continue for a particular period of time
last	last	 noun	to stay in good condition for a particular period of time
last	last	 noun	when a supply of something continues to be enough
last	last	 verb	coming at the end after all others
last	last	 verb	to be the last one in a line, group, race etc
last	last	 verb	the one just before the last one
last	last	 verb	what you say to introduce the last thing in a speech etc
last	last	 verb	to continue for a particular period of time
last	last	 verb	to stay in good condition for a particular period of time
last	last	 verb	when a supply of something continues to be enough
last	last	 verb	when something continues to happen
last	last	 verb	when there is enough of something you need
last	last	 verb	to not die in spite of an accident, illness, or war
last	last	 noun	coming at the end after all others
last	last	 noun	to be the last one in a line, group, race etc
last	last	 noun	the one just before the last one
last	last	 noun	what you say to introduce the last thing in a speech etc
last	last	 noun	to continue for a particular period of time
last	last	 noun	to stay in good condition for a particular period of time
last	last	 noun	when a supply of something continues to be enough
last	last	 noun	the part of something that remains
lasting	lasting	 adjective	continuing for a long time
lastly	lastly	 adverb	what you say to introduce the last thing in a speech etc
last name	last name	 noun	a person's name
late	late	 adjective	arriving or leaving late
late	late	 adjective	what you say when someone or something is late
late	late	 adjective	later than usual
late	late	 adjective	what you say when someone or something is late
late	late	 adjective	to have done less than you planned to do
late	late	 adjective	too late
late	late	 adjective	late at night
late	late	 adjective	no longer alive
late	late	 adjective	to make someone or something arrive late
late	late	 adjective	when something happens before it is too late
late	late	 adjective	to have enough time to do something
late	late	 adjective	to stay in bed until late in the morning
late	late	 adverb	arriving or leaving late
late	late	 adverb	what you say when someone or something is late
late	late	 adverb	later than usual
late	late	 adverb	what you say when someone or something is late
late	late	 adverb	to have done less than you planned to do
late	late	 adverb	too late
late	late	 adverb	late at night
late	late	 adverb	to stay somewhere a little longer
late	late	 adverb	to stay in bed until late in the morning
latecomer	latecomer	 noun	arriving or leaving late
lately	lately	 adverb	happening over a period of time up to the present
lateness	late	 adjective	arriving or leaving late
lateness	late	 adjective	what you say when someone or something is late
lateness	late	 adjective	later than usual
lateness	late	 adjective	what you say when someone or something is late
lateness	late	 adjective	to have done less than you planned to do
lateness	late	 adjective	too late
lateness	late	 adjective	late at night
lateness	late	 adjective	no longer alive
lateness	late	 adjective	to make someone or something arrive late
lateness	late	 adjective	when something happens before it is too late
lateness	late	 adjective	to have enough time to do something
lateness	late	 adjective	to stay in bed until late in the morning
late-night	late-night	 adjective	late at night
later	later	 adverb	at a later time
later	later	 adverb	to arrange to do something at a later time
later	later	 adverb	in a later place in a book, list etc
later	later	 adverb	after a particular time or event
later	later	 adverb	before a particular time or date
later	later	 adverb	when something happens after a long time
later	later	 adverb	ways of saying goodbye
later	later	 adjective	at a later time
later	later	 adjective	to arrange to do something at a later time
later	later	 adjective	in a later place in a book, list etc
later	later	 adjective	after someone or something in a list, series, line of people etc
later	later	 adjective	coming after someone or something else
latest	latest	 adjective	to be fashionable
latest	latest	 adjective	recently made or produced
latest	latest	 adjective	words for describing an event that has happened recently
latest	latest	 adjective	words for describing news or information that is recent
latest	latest	 noun	news that people tell each other
latter	latter	 noun	coming at the end after all others
latter	latter	 adjective	happening at the end of an event, time, book, film etc
latter-day	latter-day	 adjective	existing, happening, or relating to now
laudable	laudable	 adjective	words for describing behaviour or actions that deserve praise
laudably	laudable	 adjective	words for describing behaviour or actions that deserve praise
laugh	laugh	 verb	to laugh because something is funny
laugh	laugh	 verb	to laugh in a cruel or nasty way
laugh	laugh	 verb	to laugh loudly
laugh	laugh	 verb	to laugh a lot or for a long time
laugh	laugh	 verb	to make someone laugh
laugh	laugh	 verb	to stop yourself laughing
laugh	laugh	 verb	when something or someone makes you laugh
laugh	laugh	 verb	the ability to realize when something is funny
laugh	laugh	 verb	not worried
laugh	laugh	 noun	to laugh because something is funny
laugh	laugh	 noun	to laugh in a cruel or nasty way
laugh	laugh	 noun	to laugh loudly
laugh	laugh	 noun	to laugh a lot or for a long time
laugh	laugh	 noun	to make someone laugh
laugh	laugh	 noun	to stop yourself laughing
laugh	laugh	 noun	someone who people enjoy being with
laugh	laugh	 noun	experiences and activities that you enjoy
laugh	laugh	 noun	when you do something for enjoyment
laugh	laugh	 noun	when something or someone makes you laugh
laugh	laugh	 noun	something that you do to make people laugh
laughable	laughable	 adjective	very stupid
laughably	laughable	 adjective	very stupid
laughing stock	laughing stock	 noun	someone that people make fun of
laughter	laughter	 noun	to laugh because something is funny
laughter	laughter	 noun	to laugh a lot or for a long time
laughter	laughter	 noun	to laugh loudly
launch	launch	 verb	to attack a place or country
launch	launch	 verb	to make something available for people to buy
launch	launch	 verb	to make something start happening
launch	launch	 verb	to start doing something
launch	launch	 verb	when something moves upwards into the air
laundry	laundry	 noun	to wash clothes
lavatory	lavatory	 noun	a toilet/rest room
lavish	lavish	 verb	to give generously
law	law	 noun	an official rule that everyone must obey
law	law	 noun	the whole system of laws of a country or place
law	law	 noun	part of a law or legal agreement
law	law	 noun	to make a new law
law	law	 noun	ways of saying that a law is officially accepted
law	law	 noun	relating to the law
law	law	 noun	to do something that is a crime
law	law	 noun	to not obey a rule or law
law	law	 noun	to do something that is illegal
law	law	 noun	illegal
law	law	 noun	allowed by law
law	law	 noun	when the law says you must do something or have the right to do it
law	law	 noun	a rule
law	law	 noun	rules of acceptable behaviour
law	law	 noun	a place where people over 18 can study
law	law	 noun	to give orders in a rude, unpleasant way
law-abiding	law-abiding	 adjective	always doing what you are told to do
lawful	lawful	 adjective	allowed by law
lawfully	lawful	 adjective	allowed by law
lawfulness	lawful	 adjective	allowed by law
law school	law school	 noun	a place where people over 18 can study
lawyer	lawyer	 noun	the people in the legal process
lax	lax	 adjective	people/attitudes that are not strict
laxity	lax	 adjective	people/attitudes that are not strict
lay	lay	 verb	to blame someone for something
lay	lay	 verb	to make something completely clear
lay	lay	 verb	to strongly criticize someone or something
lay	lay	 verb	to exaggerate something
lay	lay	 verb	to lay something flat on a surface
lay	lay	 verb	to succeed in getting something, especially something that is difficult to get
lay	lay	 verb	to tell someone what you intend to do
lay	lay	 verb	to say you have a right to be the legal owner or something
lay	lay	 verb	when two countries agree to stop fighting
lay	lay	 verb	to provide the necessary conditions for something to happen
lay	lay	 verb	to provide something that is needed
lay	lay	 verb	when you are in a situation where there are risks
lay	lay	 verb	to say something publicly or officially
lay	lay	 verb	to open something out and arrange it on a surface
lay	lay	 verb	to stop having a particular type of food or drink
lay	lay	 verb	to give orders in a rude, unpleasant way
layabout	layabout	 noun	a lazy person
layaway	layaway	 noun	to pay for something before you receive it
layer	layer	 noun	a thin flat layer that covers a surface
layman	layman	 noun	not knowing about something
layman	layman	 noun	the language used by a particular group of people
layout	layout	 noun	the way that things or people are arranged
layperson	layperson	 noun	not knowing about something
laze	laze	 verb	to behave in a lazy way
laze	laze	 verb	to rest
lazily	lazy	 adjective	lazy
lazily	lazy	 adjective	a lazy person
lazily	lazy	 adjective	to behave in a lazy way
laziness	lazy	 adjective	lazy
laziness	lazy	 adjective	a lazy person
laziness	lazy	 adjective	to behave in a lazy way
lazy	lazy	 adjective	lazy
lazy	lazy	 adjective	a lazy person
lazy	lazy	 adjective	to behave in a lazy way
lazybones	lazybones	 noun	a lazy person
lead	lead	 verb	to influence someone in a bad way
lead	lead	 verb	to happen or exist before someone or something else
lead	lead	 verb	to make something happen
lead	lead	 verb	to make someone do something
lead	lead	 verb	to make someone expect something
lead	lead	 verb	to do something that has never been done before
lead	lead	 verb	to be in charge of an activity or group of people
lead	lead	 verb	to talk or write about a subject for the first time
lead	lead	 verb	to be the leader
lead	lead	 verb	a lucky person
lead	lead	 verb	to start an activity, job, speech etc by doing the first part of it
lead	lead	 verb	to take someone somewhere and show them where to go, what to look at etc
lead	lead	 verb	to trick someone and make them believe something that is not true
lead	lead	 noun	when a play, film etc has a particular actor in it
lead	lead	 noun	to do the same as someone else does
lead	lead	 noun	to be winning a game, race etc that has not yet finished
leader	leader	 noun	the leader of a group or country
leader	leader	 noun	to be the leader
leadership	leadership	 noun	the most powerful people in a government
leadership	leadership	 noun	to be the leader
leadership	leadership	 noun	the leader of a group or country
lead-in	lead-in	 noun	speech or writing that introduces something
leading	leading	 adjective	something that you ask someone
leading	leading	 adjective	an important person
leading	leading	 adjective	to have an important part in something
lead story	lead story	 noun	news on television or in a newspaper
leaf	leaf	 noun	to start to behave better
leaf	leaf	 verb	to read only parts of something
league	league	 noun	very much better than someone or something
league	league	 noun	an organization for people who have the same interests or aims
league	league	 noun	when people do something together in a dishonest way
league	league	 noun	worse
leak	leak	 verb	when something is found out
leak	leak	 verb	when liquid moves or comes out of something
leak	leak	 verb	to tell someone something that was a secret
leak	leak	 noun	a hole in something that has been damaged, allowing water, air etc to escape
leaky	leaky	 adjective	words for describing something that has lots of holes in it
lean	lean	 verb	to try hard to persuade someone
lean	lean	 verb	to put something in a sloping position
lean	lean	 verb	to be in a standing position
lean	lean	 verb	to use something to support yourself
lean	lean	 adjective	thin and strong-looking
leanness	lean	 adjective	thin and strong-looking
leap	leap	 verb	to jump in the air
leap	leap	 verb	to go over something by jumping
leap	leap	 noun	a sudden large increase
leap	leap	 noun	to make progress very rapidly
learn	learn	 verb	to learn how to do something, or learn about something
learn	learn	 verb	to learn something so that you can remember it exactly
learn	learn	 verb	someone who is learning something
learn	learn	 verb	to learn about things by experiencing them in your life
learn	learn	 verb	to find out about something
learn	learn	 verb	to know a fact or piece of information
learned	learned	 adjective	intelligent and well-educated
learnedly	learned	 adjective	intelligent and well-educated
learner	learner	 noun	someone who is learning something
learner	learner	 noun	a student
learning	learning	 noun	designed or intended to teach something
learning difficulties	learning difficulties	 noun	disabled
lease	lease	 verb	to pay money so that you can borrow and use something
lease	lease	 verb	to lend houses, land, machines etc for money
least	least	 determiner	less than any other
least	least	 determiner	the smallest amount or number of something
least	least	 determiner	to be at the lowest level
least	least	 determiner	the smallest amount that is allowed or possible
least	least	 determiner	stronger expressions meaning not
least	least	 adverb	less than any other
least	least	 adverb	the smallest amount or number of something
least	least	 adverb	to be at the lowest level
least	least	 adverb	more than usual or more than others
least	least	 adverb	what you say to introduce the last thing in a speech etc
leave	leave	 verb	to go away from a place
leave	leave	 verb	what you say when you are going to leave
leave	leave	 verb	ways of telling someone to leave
leave	leave	 verb	to leave at the start of a journey
leave	leave	 verb	to leave a room or building for a short time
leave	leave	 verb	to leave quickly in order to avoid trouble, danger etc
leave	leave	 verb	to leave after doing something wrong or illegal
leave	leave	 verb	to leave quietly or secretly
leave	leave	 verb	to leave somewhere angrily
leave	leave	 verb	to leave unwillingly
leave	leave	 verb	to make someone leave a room or building
leave	leave	 verb	when an army leaves a place, for example after a battle
leave	leave	 verb	when a crowd of people leave a place
leave	leave	 verb	to permanently leave the house where you live
leave	leave	 verb	to leave your house and go to live in another one
leave	leave	 verb	to make someone leave the house where they live
leave	leave	 verb	to leave your country or the area where you live
leave	leave	 verb	to make someone leave a country
leave	leave	 verb	to permanently leave your school, college etc
leave	leave	 verb	someone who leaves school or college
leave	leave	 verb	to make someone leave school or college
leave	leave	 verb	to leave a job or organization
leave	leave	 verb	when someone is forced to leave their job
leave	leave	 verb	to make someone leave a political party etc
leave	leave	 verb	something that is given when someone leaves
leave	leave	 verb	when someone leaves the army, air force, or navy
leave	leave	 verb	to leave your husband, wife, girlfriend etc
leave	leave	 verb	to make a husband, wife, girlfriend etc leave
leave	leave	 verb	very much better than someone or something
leave	leave	 verb	to do things that need doing
leave	leave	 verb	to move faster than someone or something else
leave	leave	 verb	to not use all of something
leave	leave	 verb	when there is nothing left
leave	leave	 verb	to forget to bring something
leave	leave	 verb	to get off a bus, plane etc
leave	leave	 verb	to arrange for something to be given to someone after you die
leave	leave	 verb	to not have any more of something
leave	leave	 verb	to not include someone or something
leave	leave	 verb	not interested
leave	leave	 verb	to not interfere
leave	leave	 verb	too late
leave	leave	 verb	to look for something or someone that you need or want
leave	leave	 verb	to put something somewhere
leave	leave	 verb	to give the responsibility for doing something to another person
leave	leave	 verb	to stop doing something without successfully completing it
leave	leave	 verb	to not let someone take part
leave	leave	 verb	when you want to leave a message for someone
leave	leave	 verb	what you say to tell someone not to touch something
leave	leave	 verb	when something moves upwards into the air
leave	leave	 noun	to go away from a place
leave	leave	 noun	what you say when you are going to leave
leave	leave	 noun	ways of telling someone to leave
leave	leave	 noun	to leave at the start of a journey
leave	leave	 noun	to leave a room or building for a short time
leave	leave	 noun	to leave quickly in order to avoid trouble, danger etc
leave	leave	 noun	to leave after doing something wrong or illegal
leave	leave	 noun	to leave quietly or secretly
leave	leave	 noun	to leave somewhere angrily
leave	leave	 noun	to leave unwillingly
leave	leave	 noun	to make someone leave a room or building
leave	leave	 noun	when an army leaves a place, for example after a battle
leave	leave	 noun	when a crowd of people leave a place
leave	leave	 noun	to permanently leave the house where you live
leave	leave	 noun	to leave your house and go to live in another one
leave	leave	 noun	to make someone leave the house where they live
leave	leave	 noun	to leave your country or the area where you live
leave	leave	 noun	to make someone leave a country
leave	leave	 noun	to permanently leave your school, college etc
leave	leave	 noun	someone who leaves school or college
leave	leave	 noun	to make someone leave school or college
leave	leave	 noun	to leave a job or organization
leave	leave	 noun	when someone is forced to leave their job
leave	leave	 noun	to make someone leave a political party etc
leave	leave	 noun	something that is given when someone leaves
leave	leave	 noun	when someone leaves the army, air force, or navy
leave	leave	 noun	to leave your husband, wife, girlfriend etc
leave	leave	 noun	to make a husband, wife, girlfriend etc leave
leave	leave	 noun	time when you are allowed to be away from work or school
lecherous	lecherous	 adjective	someone who thinks about sex all the time
lecherously	lecherous	 adjective	someone who thinks about sex all the time
lecture	lecture	 noun	the period of time during which a class is taught
lecture	lecture	 noun	when you tell someone off
lecture	lecture	 verb	to teach in a school, college etc as your job
lecture	lecture	 verb	to tell someone off
lecturer	lecturer	 noun	someone who teaches
leer	leer	 verb	to look at someone in a way that shows you are sexually interested in them
leer	leer	 verb	a smile
leer	leer	 verb	to smile in an unpleasant way
left	left	 adjective	to remain
left	left	 adjective	the part of something that remains
left	left	 noun	different types of political opinions and parties
leftover	leftover	 adjective	words for describing someone or something that remains
left wing	left-wing	 adjective	different types of political opinions and parties
left-wing	left-wing	 adjective	different types of political opinions and parties
left-winger	left-wing	 adjective	different types of political opinions and parties
leg	leg	 noun	extremely expensive
leg	leg	 noun	to pretend that something is true as a joke
leg	leg	 noun	to make fun of someone or something
leg	leg	 noun	someone who talks a lot or too much
legal	legal	 adjective	allowed by law
legal	legal	 adjective	when the law says you must do something or have the right to do it
legal	legal	 adjective	to make something legal
legal	legal	 adjective	relating to the law
legality	legality	 noun	allowed by law
legalization	legalize	 verb	to make something legal
legalize	legalize	 verb	to make something legal
legal system	legal system	 noun	the whole system of laws of a country or place
legend	legend	 noun	a famous person
legend	legend	 noun	a story
legendary	legendary	 adjective	famous
leggy	leggy	 adjective	words for describing someone who is tall
legibility	legible	 adjective	easy to read
legible	legible	 adjective	easy to read
legibly	legible	 adjective	easy to read
legislate	legislate	 verb	to make a new law
legislation	legislation	 noun	an official rule that everyone must obey
legislative	legislative	 adjective	relating to the law
legitimacy	legitimate	 adjective	allowed by law
legitimacy	legitimate	 adjective	when it is right or reasonable to do something
legitimate	legitimate	 adjective	allowed by law
legitimate	legitimate	 adjective	when it is right or reasonable to do something
legitimately	legitimate	 adjective	allowed by law
legitimately	legitimate	 adjective	when it is right or reasonable to do something
legitimize	legitimize	 verb	to make something legal
legless	legless	 adjective	very drunk
leg room	leg room	 noun	space
leisure	leisure	 noun	things you do for enjoyment
leisure	leisure	 noun	time when you can do what you want
leisure	leisure	 noun	when you are not busy and have free time
leisure	leisure	 noun	a place where you do a sport
leisure centre	leisure centre	 noun	a place where you do a sport
leisurely	leisurely	 adjective	not hurrying
leisurely	leisurely	 adjective	moving slowly or doing something slowly
lend	lend	 verb	to lend something to someone
lend	lend	 verb	to lend houses, land, machines etc for money
lend	lend	 verb	a person or organization that lends money
lend	lend	 verb	money that is lent to someone
lend	lend	 verb	to help someone
lend	lend	 verb	suitable for a particular situation, job, purpose etc
lender	lender	 noun	a person or organization that lends money
length	length	 noun	ways of saying how long something is
length	length	 noun	the period of time that something lasts or takes
length	length	 noun	to try very hard to do something
lengthen	lengthen	 verb	to become longer
lengthen	lengthen	 verb	to make something longer
lengthy	lengthy	 adjective	long book/name/list etc
lengthy	lengthy	 adjective	continuing for a long time
leniency,	lenient	 adjective	criticism/punishment that is not strict
leniency,	lenient	 adjective	people/attitudes that are not strict
lenient	lenient	 adjective	criticism/punishment that is not strict
lenient	lenient	 adjective	people/attitudes that are not strict
leniently	lenient	 adjective	criticism/punishment that is not strict
leniently	lenient	 adjective	people/attitudes that are not strict
lesbian	lesbian	 noun	gay
lesbianism	lesbian	 noun	gay
